,Accuracy
Gradient Boosting,0.8344528710725894
Random Forest,0.7989165763813652
Naive Bayes,0.7973997833152763
SVM,0.7882990249187433
KNN,0.7698808234019502
LogisticRegression,0.7579631635969664
